I8453	STARRING	EA23404
I13212	STARRING	EA247
I397	STARRING	EA15605
I261	DIRECTED_BY	ED1
I4226	CATEGORIZED	EG19
I5547	STARRING	EA5849
I7784	STARRING	EA21951
I314	STARRING	EA27105
I7356	STARRING	EA8845
I2293	CATEGORIZED	EG19
I806	STARRING	EA26602
I14915	STARRING	EA8890
I16092	STARRING	EA1721
I3961	STARRING	EA19035
I561	CATEGORIZED	EG5
I16330	CATEGORIZED	EG19
I2962	DIRECTED_BY	ED9175
I5563	STARRING	EA7568
I10006	CATEGORIZED	EG26
I8073	CATEGORIZED	EG7
I6200	CATEGORIZED	EG23
I957	STARRING	EA5475
I12178	STARRING	EA9751
I15724	CATEGORIZED	EG23
I4293	STARRING	EA6740
I11166	STARRING	EA12693
I7240	DIRECTED_BY	ED3467
I14534	STARRING	EA16059
I773	CATEGORIZED	EG26
I3290	STARRING	EA22548
I2453	STARRING	EA14318
I9626	CATEGORIZED	EG19
I9976	STARRING	EA5652
I9086	CATEGORIZED	EG25
I4170	CATEGORIZED	EG11
I10559	DIRECTED_BY	ED3070
I14956	CATEGORIZED	EG23
I7187	STARRING	EA28509
I15383	DIRECTED_BY	ED1
I9341	CATEGORIZED	EG23
I13327	DIRECTED_BY	ED5991
I2606	CATEGORIZED	EG7
I5926	STARRING	EA10487
I15602	DIRECTED_BY	ED5593
I8200	CATEGORIZED	EG22
I7590	CATEGORIZED	EG19
I10192	STARRING	EA31190
I1992	STARRING	EA27990
I7538	STARRING	EA27585
I13341	STARRING	EA18527
I3125	CATEGORIZED	EG26
I12062	DIRECTED_BY	ED1562
I3318	STARRING	EA29899
I8224	DIRECTED_BY	ED7980
I11238	DIRECTED_BY	ED6431
I15679	STARRING	EA24420
I4457	STARRING	EA20621
I15852	STARRING	EA12001
I9294	STARRING	EA12971
I15801	CATEGORIZED	EG9
I2631	CATEGORIZED	EG11
I247	CATEGORIZED	EG11
I3865	DIRECTED_BY	ED335
I5724	STARRING	EA3537
I1471	STARRING	EA8675
I13851	STARRING	EA7770
I5822	STARRING	EA1691
I5137	STARRING	EA10030
I15478	STARRING	EA7559
I2023	STARRING	EA10004
I6667	CATEGORIZED	EG23
I755	STARRING	EA31356
I9519	CATEGORIZED	EG19
I2609	CATEGORIZED	EG8
I4791	CATEGORIZED	EG11
I8735	DIRECTED_BY	ED3083
I11353	STARRING	EA27364
I4718	STARRING	EA17914
I15215	STARRING	EA7935
I10837	CATEGORIZED	EG11
I5178	CATEGORIZED	EG17
I196	STARRING	EA19525
I16614	CATEGORIZED	EG25
